Number of LSTM units,Lookback period,Dropout rate,Average MSE
34,36,0.445796409986445,1.7513831840292747e-05
52,12,0.49264286178652505,1.0595310852405129e-05
19,24,0.12487988438403885,2.4834226419197627e-05
59,34,0.12399357067329944,6.285810480560733e-06
23,35,0.2952966604883909,2.4888291809946368e-05
45,21,0.3464768324702244,8.48645911694973e-06
46,19,0.24490326831027295,9.668514880644352e-06
13,34,0.14636401628560847,2.349609267347059e-05
40,37,0.30625432929824215,1.208147516678235e-05
20,13,0.41292165325714736,2.887750090129222e-05
60,19,0.2900074510989148,6.897336283042908e-06
27,20,0.270840002471158,1.7604989192813893e-05
42,31,0.30371685383947356,7.249964180351764e-06
57,33,0.16520849256351772,9.265393712914743e-06
40,36,0.40461786470857153,2.660826346034019e-05
